run,id,freq,s11,s12,x,y,z,note
1,152,2375000000,-6.12662887573242,-39.8145179748535,4.52999999999999,0,0,2023_05_11_02 -
1,152,2416666666.66667,-5.34511518478394,-42.4852714538574,4.52999999999999,0,0,2023_05_11_02 -
1,152,2458333333.33333,-3.35345864295959,-46.0837211608887,4.52999999999999,0,0,2023_05_11_02 -
1,152,2500000000,-3.06921458244324,-48.077709197998,4.52999999999999,0,0,2023_05_11_02 -
1,152,2541666666.66667,-4.86271905899048,-46.7195281982422,4.52999999999999,0,0,2023_05_11_02 -
1,152,2583333333.33333,-4.47417259216309,-47.8605117797852,4.52999999999999,0,0,2023_05_11_02 -
1,152,2625000000,-3.46760225296021,-47.0003700256348,4.52999999999999,0,0,2023_05_11_02 -
1,152,2666666666.66667,-5.16917037963867,-45.2029037475586,4.52999999999999,0,0,2023_05_11_02 -
1,152,2708333333.33333,-6.41418838500977,-43.8738059997559,4.52999999999999,0,0,2023_05_11_02 -
1,152,2750000000,-4.3980712890625,-44.4646453857422,4.52999999999999,0,0,2023_05_11_02 -
1,152,2791666666.66667,-5.08334493637085,-42.8647956848145,4.52999999999999,0,0,2023_05_11_02 -
1,152,2833333333.33333,-7.53417491912842,-41.1620140075684,4.52999999999999,0,0,2023_05_11_02 -
1,152,2875000000,-4.93623828887939,-41.3458061218262,4.52999999999999,0,0,2023_05_11_02 -
1,152,2916666666.66667,-3.96511721611023,-41.1914672851563,4.52999999999999,0,0,2023_05_11_02 -
1,152,2958333333.33333,-6.07653045654297,-40.4351959228516,4.52999999999999,0,0,2023_05_11_02 -
1,152,3000000000,-6.28133153915405,-40.6908836364746,4.52999999999999,0,0,2023_05_11_02 -
1,152,3041666666.66667,-3.81785178184509,-42.8254852294922,4.52999999999999,0,0,2023_05_11_02 -
1,152,3083333333.33333,-3.89047503471375,-43.180103302002,4.52999999999999,0,0,2023_05_11_02 -
1,152,3125000000,-6.35019207000732,-41.6958160400391,4.52999999999999,0,0,2023_05_11_02 -
1,152,3166666666.66667,-5.19922780990601,-43.328784942627,4.52999999999999,0,0,2023_05_11_02 -
1,152,3208333333.33333,-3.47315764427185,-42.9253730773926,4.52999999999999,0,0,2023_05_11_02 -
1,152,3250000000,-4.44977474212646,-42.6373977661133,4.52999999999999,0,0,2023_05_11_02 -
1,152,3291666666.66667,-7.44225168228149,-42.0949630737305,4.52999999999999,0,0,2023_05_11_02 -
1,152,3333333333.33333,-5.72341012954712,-41.6743240356445,4.52999999999999,0,0,2023_05_11_02 -
1,152,3375000000,-4.71512174606323,-40.7842483520508,4.52999999999999,0,0,2023_05_11_02 -
1,152,3416666666.66667,-6.98085641860962,-39.0310478210449,4.52999999999999,0,0,2023_05_11_02 -
